@relation powerplant-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-Rfirst-last-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-Rfirst-last-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-Rlast-weka.filters.unsupervised.attribute.Discretize-D-B5-M-1.0-R5-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-R5-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-R5

@attribute AT {VL,L,A,H,VH}
@attribute V {VL,L,A,H,VH}
@attribute AP {VL,L,A,H,VH}
@attribute RH {VL,L,A,H,VH}
@attribute PE {VL,L,A,H,VH}

@data
L,L,A,VH,H
L,L,A,H,A
L,L,A,VH,H
VL,L,A,VH,VH
A,H,A,H,L
L,L,L,A,H
H,VH,L,A,VL
L,L,A,H,H
VH,H,A,L,VL
L,L,A,VH,H
VL,L,H,H,VH
L,L,VH,H,VH
L,L,VH,H,H
H,H,A,VH,VL
L,A,A,H,A
A,H,H,H,A
VH,H,A,L,VL
A,A,H,A,A
H,VH,A,L,L
L,L,A,A,A
L,L,L,H,H
A,L,A,H,A
H,H,A,L,L
L,L,A,VH,A
A,L,A,L,A
VH,VH,L,A,VL
H,VH,A,H,L
VL,L,H,VH,H
H,VH,A,L,L
H,H,A,L,L
L,L,A,VH,H
VL,L,A,VH,VH
L,A,A,A,A
L,L,L,VH,H
L,L,A,A,H
L,L,VH,A,H
A,A,A,H,A
H,A,A,H,L
L,L,H,H,VH
A,H,A,H,A
A,L,A,L,A
H,H,A,H,L
H,H,A,H,L
H,H,A,L,L
H,H,A,H,L
A,L,A,H,H
L,VH,H,A,A
VL,VL,VH,VH,VH
L,A,VH,A,A
L,L,H,A,H
L,A,H,VH,H
H,H,A,H,VL
VL,L,H,H,H
L,L,A,H,A
A,L,A,A,H
L,L,A,L,H
L,L,A,H,H
A,L,A,A,A
H,A,L,L,L
H,H,L,A,L
L,L,A,VH,A
VL,VL,VH,VH,VH
H,H,A,A,L
A,L,L,VH,A
A,A,H,VH,A
L,L,A,H,H
H,H,A,A,L
A,L,L,VH,A
A,L,A,L,A
A,L,H,L,H
H,H,A,L,VL
A,L,H,L,A
H,L,L,L,L
VL,L,A,H,VH
H,H,A,A,VL
L,L,H,H,VH
L,L,VH,H,H
L,L,A,H,H
H,A,H,A,L
L,L,H,H,A
A,A,A,VH,L
A,A,A,A,A
VL,L,A,A,VH
H,A,A,L,L
VL,VL,A,VH,VH
H,H,H,H,L
VL,L,A,VH,VH
H,A,A,VL,A
VL,L,A,H,VH
H,H,A,H,L
VL,L,VL,VH,H
VH,VH,A,L,VL
A,A,A,H,A
A,H,A,H,L
VL,L,L,VH,VH
A,L,H,A,A
H,H,L,H,VL
A,H,A,A,A
L,L,VH,A,H
A,L,H,H,A
L,L,VH,VH,H
A,A,H,H,L
L,L,H,VH,H
L,L,H,VH,H
A,A,A,VH,A
H,H,L,L,VL
H,H,H,A,L
VL,L,VH,VH,H
A,A,L,A,L
H,VH,L,VH,L
A,L,L,H,A
H,H,L,VH,L
L,L,H,VH,H
A,H,L,A,L
VL,L,H,A,VH
H,H,A,L,L
L,L,A,VH,A
VH,H,L,VL,L
VH,VH,L,L,VL
H,H,A,A,L
H,H,A,L,A
A,L,A,L,A
H,VH,L,VH,L
A,VH,L,VH,L
H,H,A,H,L
H,H,L,L,L
H,VH,L,A,VL
H,H,A,L,L
H,H,A,L,L
A,H,A,H,L
A,A,A,VH,A
H,H,A,VH,L
L,L,H,VH,A
A,A,H,H,A
H,A,A,A,A
L,L,A,VH,H
L,L,L,VH,H
A,L,H,H,A
H,L,A,L,L
A,L,A,A,A
VH,VH,L,A,VL
H,H,A,L,L
A,A,A,A,L
VH,H,A,L,VL
A,A,A,H,L
L,L,VH,A,H
A,H,A,H,A
H,H,A,H,L
L,L,H,VH,H
L,L,H,H,H
A,A,A,H,A
H,H,L,A,VL
A,L,A,A,A
A,H,H,H,L
L,L,A,H,H
VL,L,A,H,VH
VL,L,A,H,VH
L,L,H,VH,A
VL,L,A,VH,VH
L,L,H,VH,H
L,L,L,H,A
L,L,A,H,H
H,A,L,L,L
H,A,L,A,L
A,L,L,A,A
VH,H,L,A,L
VL,L,A,VH,VH
H,H,A,L,L
L,L,L,A,A
L,L,A,H,H
H,H,A,A,VL
A,A,A,A,A
L,L,A,H,H
L,L,A,H,H
L,L,VH,A,A
A,A,L,VH,L
H,H,A,A,L
A,A,L,VH,L
L,L,VH,VH,H
H,VH,A,H,L
H,VH,A,VH,L
H,H,A,A,L
A,A,A,H,A
H,VH,A,VH,VL
A,L,A,A,L
H,VH,A,A,VL
L,L,H,H,H
L,A,A,VH,A
H,H,H,A,L
L,L,H,A,A
VL,L,H,H,H
VL,L,VH,H,H
L,L,H,H,H
A,L,A,VH,A
H,A,A,A,A
L,L,A,A,A
H,H,L,A,VL
A,A,A,VH,A
H,A,A,L,L
VL,VL,H,H,VH
A,L,L,VH,A
A,A,H,H,A
H,VH,H,A,L
H,VH,L,A,L
A,H,L,H,L
H,H,L,A,VL
L,L,A,VH,H
L,L,A,H,H
A,A,A,H,A
L,L,H,L,H
H,VH,A,H,VL
H,H,A,L,L
L,VL,A,VH,H
L,L,H,VH,H
L,L,H,H,H
A,A,A,VH,A
H,A,A,L,L
H,A,A,A,L
L,L,A,VH,A
A,A,L,H,L
A,A,A,H,L
L,L,H,VH,H
H,VH,L,VH,L
A,A,A,H,L
H,VH,VL,H,VL
A,A,A,H,L
A,A,A,H,L
A,L,H,H,A
L,L,A,H,H
VL,L,VH,H,VH
A,A,A,H,A
H,H,A,L,L
L,L,L,VH,A
A,L,H,H,A
L,L,A,H,H
H,H,A,VH,VL
A,H,A,VH,L
A,L,H,H,A
L,L,H,VH,A
L,L,H,H,H
A,H,H,VH,L
L,L,H,VH,H
H,VH,L,H,VL
H,VH,A,H,L
A,A,A,A,A
L,L,H,H,H
L,L,H,H,H
L,L,VH,H,H
VH,VH,L,A,VL
L,L,A,A,H
H,VH,A,A,VL
VL,L,A,H,VH
L,L,A,H,H
L,L,H,VH,H
L,L,H,H,H
H,VH,A,VH,L
VL,L,A,H,VH
A,L,A,H,A
VL,VL,A,H,H
H,H,L,H,VL
H,A,A,A,L
H,H,L,A,L
L,L,VH,H,VH
L,L,A,VH,H
A,A,A,A,A
VH,VH,A,VL,VL
H,H,A,A,VL
VH,VH,L,A,VL
L,A,A,VH,A
A,L,H,L,H
A,H,A,H,A
L,L,L,VH,H
L,L,H,H,VH
A,A,H,H,A
H,H,H,A,L
A,A,H,VH,A
L,L,H,H,H
H,H,A,VH,VL
H,H,A,H,VL
H,VH,A,H,VL
H,VH,L,A,VL
VH,VH,L,L,L
VL,L,H,H,VH
L,L,H,A,H
VH,H,A,L,L
H,VH,L,VH,L
VL,L,VH,H,H
L,L,VH,A,H
L,L,A,A,H
H,H,A,A,L
A,L,H,H,H
H,VH,L,A,VL
VH,H,L,H,VL
L,L,A,VH,H
H,H,L,A,L
VH,H,A,L,VL
H,VH,A,L,VL
H,A,L,A,L
L,L,H,H,H
VL,L,VH,VH,H
L,L,H,A,H
H,H,A,A,VL
H,H,H,A,L
H,H,A,H,L
H,H,H,L,L
VH,H,L,A,VL
VL,L,H,H,VH
L,L,A,VH,A
L,L,H,VH,H
A,H,A,H,L
H,A,L,A,L
A,A,L,VH,L
H,H,A,VH,VL
A,L,H,H,A
L,L,A,VH,A
H,H,L,H,L
L,A,A,H,A
A,L,H,A,A
H,H,A,A,L
H,A,A,H,L
H,VH,VL,VH,VL
VH,VH,L,L,VL
A,L,L,VH,A
L,L,VL,VH,H
A,L,L,A,L
L,L,A,L,H
L,L,VH,VH,H
H,H,L,H,VL
A,A,L,VH,L
L,A,H,VH,A
A,H,A,VH,L
A,L,A,A,H
A,A,L,VH,L
L,L,VL,H,H
A,H,A,A,A
A,L,L,H,A
L,L,A,VH,H
L,A,A,A,A
A,H,A,VH,A
H,VH,L,VH,VL
L,L,A,H,H
H,A,A,A,L
A,A,A,A,A
A,L,A,H,A
A,H,A,H,A
H,H,H,A,L
VH,A,L,L,L
VH,H,L,A,VL
L,L,H,VH,VH
A,L,L,H,A
VL,L,VH,H,VH
H,H,H,H,L
VH,VH,L,L,L
H,VH,A,H,L
H,A,A,H,L
L,A,H,VH,A
H,A,L,L,L
A,A,L,H,L
VL,L,L,A,VH
VL,L,H,VH,H
L,L,H,H,H
H,A,A,L,L
A,L,A,L,A
L,L,VH,H,VH
VL,L,H,H,VH
H,VH,A,H,VL
H,H,A,L,L
A,A,A,H,L
A,H,A,H,L
A,H,L,H,L
A,A,A,H,A
VL,L,H,H,H
L,L,A,A,H
L,L,H,H,A
H,VH,A,H,L
H,H,A,A,L
H,H,A,H,L
A,L,A,H,A
A,H,A,H,L
H,VH,L,A,L
L,L,L,VH,H
A,L,L,A,A
A,A,A,VH,A
VL,L,VH,H,VH
H,H,A,L,VL
H,A,L,H,L
L,L,L,H,H
H,H,A,L,L
H,H,L,H,L
L,L,H,VH,H
A,H,A,H,L
H,H,A,A,L
H,H,A,H,L
L,A,H,H,A
VL,L,H,H,VH
H,H,A,A,L
VH,VH,L,L,VL
L,L,L,VH,H
L,L,H,VH,A
A,A,A,H,L
A,H,L,VH,L
H,H,H,A,L
H,H,H,A,L
VL,L,A,VH,VH
VL,L,H,H,H
VH,VH,L,L,VL
VH,H,A,VL,L
L,L,VH,H,VH
L,L,L,VH,H
A,H,A,H,L
A,A,H,A,A
L,L,H,VH,H
H,L,A,A,A
VL,L,H,H,H
H,A,A,L,L
H,H,L,A,VL
A,A,A,H,A
A,L,A,H,A
H,VH,L,VH,VL
VL,L,H,VH,VH
H,VH,A,H,L
L,L,A,A,A
A,H,A,A,L
H,H,A,A,L
H,H,A,L,L
VL,VL,VH,H,VH
A,L,A,H,A
L,L,A,VH,H
A,A,H,A,A
VL,L,H,L,VH
H,VH,A,A,VL
H,H,A,VH,VL
H,A,L,L,L
A,L,H,L,H
VH,VH,A,L,VL
A,A,A,VH,A
L,L,VL,VH,H
A,H,L,H,L
A,A,L,H,L
L,L,H,A,A
A,H,H,H,L
VL,L,A,VH,VH
H,H,A,A,L
VL,L,H,VH,VH
L,L,A,A,H
A,A,L,H,A
H,H,L,L,VL
H,A,A,H,A
VH,H,A,L,VL
H,A,L,A,L
VH,VH,A,A,VL
H,VH,A,VH,L
VH,VH,L,L,L
L,L,H,A,H
VL,L,A,VH,VH
VH,H,L,A,VL
VH,VH,A,L,VL
A,A,A,H,A
A,A,A,H,A
A,L,VL,H,A
A,L,A,L,A
A,H,H,A,A
L,L,A,H,H
H,H,H,A,A
A,H,A,H,L
H,H,A,A,L
L,L,H,H,A
A,A,A,H,L
L,L,H,H,A
VL,L,A,H,VH
VL,L,A,VH,VH
H,A,A,L,L
A,A,H,A,A
A,A,A,A,A
VL,L,VH,VH,VH
A,L,A,A,H
L,L,A,A,A
A,H,A,VH,L
A,A,A,H,L
L,L,A,A,H
A,H,H,VH,L
L,L,A,H,H
H,H,A,A,L
L,L,H,H,H
A,H,A,H,L
L,L,L,A,H
L,L,A,A,H
L,L,H,A,H
L,L,A,H,A
A,A,A,VH,L
A,L,L,L,A
A,H,A,L,A
H,VH,L,VH,VL
VL,L,A,VH,VH
L,VL,H,A,H
A,L,A,A,A
H,H,A,H,L
VH,VH,VL,H,VL
A,H,A,H,L
H,A,A,A,L
H,A,A,A,L
A,L,L,H,A
VH,H,A,L,VL
H,H,A,L,L
VL,VL,VH,H,VH
L,L,H,H,H
H,H,A,H,L
L,L,A,VH,H
VL,L,H,VH,H
L,L,L,H,H
H,H,H,A,L
H,H,A,A,VL
A,H,A,VH,L
L,L,L,VH,A
H,A,A,A,L
H,L,A,A,L
A,A,L,VH,L
A,A,A,VH,L
A,A,L,H,L
L,L,A,VH,H
L,L,L,H,H
H,H,H,H,L
A,H,H,H,L
H,VH,L,H,L
H,VH,A,H,L
H,A,A,A,L
A,L,A,L,A
A,L,H,L,H
A,A,H,H,A
A,H,L,H,L
L,L,A,H,H
L,L,A,VH,A
VH,H,L,A,VL
H,VH,L,H,VL
H,H,H,A,L
L,L,H,H,H
VL,L,A,VH,VH
H,A,H,L,L
L,L,H,A,H
L,L,VH,L,H
L,L,A,H,H
H,VH,A,A,L
VH,H,A,VL,VL
H,VH,A,VH,VL
A,A,A,H,A
A,A,A,VH,A
VL,L,H,H,VH
A,H,A,VH,L
L,L,A,H,H
L,L,L,H,H
L,L,A,H,H
A,L,H,H,A
L,L,A,H,VH
L,L,A,VH,H
VL,L,H,H,VH
A,A,A,H,L
A,H,A,VH,L
H,H,H,L,L
A,L,A,H,L
H,A,L,H,L
L,L,H,H,A
L,L,A,H,H
H,H,A,L,L
L,L,L,VH,A
VH,H,A,A,L
H,H,A,H,L
L,L,H,H,H
L,L,VL,VH,H
H,VH,L,VH,L
H,H,A,A,L
A,H,L,A,L
VH,H,L,L,L
A,H,L,VH,L
A,L,L,H,A
L,L,A,H,H
H,H,A,H,L
A,A,H,H,A
H,A,L,VH,L
L,L,A,VH,H
H,A,A,A,L
L,L,H,H,H
A,A,H,H,A
H,VH,A,VH,L
H,VH,L,H,L
H,H,H,L,L
H,H,A,A,L
H,A,A,A,L
L,L,VL,H,A
L,L,A,A,H
H,VH,A,VH,VL
VH,H,L,L,VL
L,L,L,H,VH
VL,L,H,VH,VH
L,L,A,H,A
H,H,A,A,L
A,H,H,A,A
A,A,H,H,L
H,VH,L,H,VL
A,VH,L,H,L
A,H,A,A,A
H,VH,L,H,VL
A,L,H,H,A
H,H,H,VL,L
H,H,A,L,L
H,A,L,VL,L
VL,L,L,VH,VH
VH,VH,L,L,L
H,H,A,A,L
VH,H,L,L,VL
A,H,A,H,L
L,L,H,H,H
VL,L,H,H,VH
VH,H,L,A,VL
A,A,A,A,A
A,H,L,H,L
L,L,H,H,H
H,H,L,A,VL
A,A,H,A,A
H,A,L,H,L
L,L,H,H,H
H,A,H,L,L
A,A,H,H,L
L,L,A,VH,H
A,A,L,VH,L
H,H,A,A,VL
VL,L,H,VH,H
H,L,A,A,L
L,L,VH,H,H
A,A,H,A,A
L,L,A,VH,A
L,L,H,VH,A
A,L,L,H,A
H,H,A,A,L
H,H,A,VH,VL
H,A,L,L,L
A,A,A,A,A
A,A,A,H,L
H,VH,L,A,VL
L,L,VH,VH,H
L,L,H,VH,A
L,A,L,VH,A
H,A,L,A,L
L,L,A,H,H
VH,H,A,A,VL
L,L,L,H,H
H,L,L,A,L
VL,L,VH,VH,VH
L,L,A,VH,H
VL,L,A,VH,VH
H,H,A,H,L
L,L,A,A,VH
H,H,A,A,VL
A,VH,L,H,L
H,VH,A,H,VL
A,L,A,A,A
L,A,H,H,A
VL,L,H,H,VH
H,H,A,H,VL
A,H,A,H,A
L,L,A,VH,H
L,L,A,VH,A
A,L,A,L,A
VL,L,H,H,VH
L,L,L,H,H
VH,H,L,A,L
A,L,H,L,H
L,L,H,H,A
A,A,A,A,A
L,A,H,H,A
A,L,A,L,H
A,A,L,H,L
H,H,L,A,VL
A,H,A,H,L
H,H,A,A,VL
VH,H,A,L,L
L,L,A,H,H
VL,VL,H,H,VH
A,L,H,H,H
A,H,H,VH,L
L,L,A,H,H
A,A,L,H,L
A,H,A,VH,L
L,L,H,H,H
L,L,H,H,H
VL,L,H,VH,VH
H,H,A,L,L
H,H,L,VL,L
L,L,H,VH,H
L,L,A,VH,A
A,L,H,H,A
VH,VH,A,A,VL
VL,L,H,H,VH
H,VH,A,H,VL
VH,H,L,L,VL
H,H,A,A,L
L,L,A,VH,A
L,L,A,VH,VH
H,H,A,H,VL
H,VH,A,A,VL
A,L,L,H,H
A,L,L,H,A
VH,VH,L,L,VL
L,L,A,VH,H
H,H,H,A,L
VH,H,L,L,VL
H,A,A,L,L
H,A,L,VH,L
L,L,A,H,H
VL,L,H,H,VH
A,A,A,VH,L
VH,H,L,L,VL
L,L,VH,VH,H
VL,L,H,H,VH
A,L,L,H,H
L,L,H,H,H
